"","Name","FeatureType","TownFlowType","SHAPESTLength"
"208","B Everett Jordan Lake","LAKE FLOWLINE","N/A",780.152833211291
"209","B Everett Jordan Lake","LAKE FLOWLINE","N/A",492.281884253616
"210","B Everett Jordan Lake","LAKE FLOWLINE","N/A",303.213896515916
"211","B Everett Jordan Lake","LAKE FLOWLINE","N/A",587.798531047297
"212","B Everett Jordan Lake","LAKE FLOWLINE","N/A",623.472871465405
"213","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1944.2812257619
"214","B Everett Jordan Lake","LAKE FLOWLINE","N/A",791.612961171888
"215","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1470.31091331817
"216","B Everett Jordan Lake","LAKE FLOWLINE","N/A",274.488163165895
"217","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1049.48890213115
"218","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1188.62391283574
"219","B Everett Jordan Lake","LAKE FLOWLINE","N/A",294.975944640741
"220","B Everett Jordan Lake","LAKE FLOWLINE","N/A",440.596971007589
"221","Beaver Creek","STREAM","perennial",773.081499709558
"222","Beaver Creek","STREAM","perennial",381.919453208873
"223","Beaver Creek","STREAM","perennial",240.394645067618
"224","Beaver Creek","STREAM","perennial",120.86243913325
"225","Beaver Creek","STREAM","perennial",936.255248357918
"226","Beaver Creek","STREAM","perennial",432.652555299924
"227","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2774.41745654853
"228","B Everett Jordan Lake","LAKE FLOWLINE","N/A",148.541169977529
"229","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1754.12834062812
"230","B Everett Jordan Lake","LAKE FLOWLINE","N/A",753.651108837114
"231","B Everett Jordan Lake","LAKE FLOWLINE","N/A",249.966380747337
"232","Beaver Creek","STREAM","perennial",331.392222159733
"233","B Everett Jordan Lake","LAKE FLOWLINE","N/A",197.526984628526
"234","B Everett Jordan Lake","LAKE FLOWLINE","N/A",79.4634684559017
"235","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2673.84630668543
"236","B Everett Jordan Lake","LAKE FLOWLINE","N/A",249.001909728082
"237","B Everett Jordan Lake","LAKE FLOWLINE","N/A",6158.15474002317
"238","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1122.5197919551
"239","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1673.53945657448
"240","B Everett Jordan Lake","LAKE FLOWLINE","N/A",929.817318264654
"241","B Everett Jordan Lake","LAKE FLOWLINE","N/A",42.5002602560322
"242","B Everett Jordan Lake","LAKE FLOWLINE","N/A",58.3512691230402
"243","Beaver Creek","STREAM","perennial",1614.3487545628
"244","Beaver Creek","STREAM","perennial",77.3673203369116
"245","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1780.533720761
"246","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1415.44432650771
"247","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1306.88193371248
"248","B Everett Jordan Lake","LAKE FLOWLINE","N/A",711.390458493567
"249","Beaver Creek","STREAM","perennial",276.305792737146
"250","B Everett Jordan Lake","LAKE FLOWLINE","N/A",873.467304761442
"251","Beaver Creek","STREAM","perennial",108.41976530746
"252","B Everett Jordan Lake","LAKE FLOWLINE","N/A",4247.60649891114
"253","Beaver Creek","STREAM","perennial",547.422772643019
"254","Beaver Creek","STREAM","perennial",54.2800294641714
"255","Beaver Creek","STREAM","perennial",652.180150752313
"256","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1005.5682247187
"257","Beaver Creek","STREAM","perennial",751.517831645397
"258","Beaver Creek","STREAM","perennial",934.02797114139
"259","Beaver Creek","STREAM","perennial",903.414019257061
"260","Beaver Creek","STREAM","perennial",1276.00393039836
"261","Beaver Creek","STREAM","perennial",1069.78958789796
"262","Beaver Creek","STREAM","perennial",483.086246272397
"263","Beaver Creek","STREAM","perennial",200.023395125765
"264","Beaver Creek","STREAM","perennial",120.853523845543
"265","Beaver Creek","STREAM","perennial",224.268590857157
"266","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1451.66113086554
"267","Beaver Creek","STREAM","perennial",215.802377428985
"268","B Everett Jordan Lake","LAKE FLOWLINE","N/A",3095.00188175639
"269","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1186.7498064625
"270","Beaver Creek","STREAM","perennial",557.168291291144
"271","Beaver Creek","STREAM","perennial",481.338969762803
"272","Beaver Creek","STREAM","perennial",685.360991032947
"273","Beaver Creek","STREAM","perennial",616.706974144617
"274","Beaver Creek","STREAM","perennial",892.288938242027
"275","Beaver Creek","STREAM","perennial",1898.42392204377
"276","Beaver Creek","STREAM","perennial",1637.04445171571
"277","Beaver Creek","STREAM","perennial",1134.34950535946
"278","Beaver Creek","STREAM","perennial",245.117804270991
"279","B Everett Jordan Lake","LAKE FLOWLINE","N/A",3343.3030857915
"280","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2579.60413864475
"281","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1754.48128074223
"282","B Everett Jordan Lake","LAKE FLOWLINE","N/A",346.029945375259
"283","Beaver Creek","STREAM","perennial",1121.55095595326
"284","Reedy Branch","STREAM","perennial",1358.13395091177
"285","Beaver Creek","STREAM","perennial",289.838009588449
"286","B Everett Jordan Lake","LAKE FLOWLINE","N/A",444.123792481126
"287","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1229.90188110226
"288","B Everett Jordan Lake","LAKE FLOWLINE","N/A",181.10890720586
"289","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2492.20565290344
"290","B Everett Jordan Lake","LAKE FLOWLINE","N/A",876.457412761876
"291","B Everett Jordan Lake","LAKE FLOWLINE","N/A",4174.90631711902
"292","Beaver Creek","STREAM","perennial",1486.94030970444
"293","Reedy Branch","STREAM","perennial",1520.45085410158
"294","Beaver Creek","STREAM","perennial",832.574250335993
"295","Reedy Branch","STREAM","perennial",664.087827747408
"296","Reedy Branch","STREAM","perennial",142.877764286408
"297","Reedy Branch","STREAM","perennial",162.908443157562
"298","Reedy Branch","STREAM","perennial",843.995936432515
"299","Beaver Creek","STREAM","perennial",891.125768250501
"300","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1547.08047884049
"301","Reedy Branch","STREAM","perennial",856.623880301914
"302","Beaver Creek","STREAM","perennial",711.556093775492
"303","Reedy Branch","STREAM","perennial",558.103695990287
"304","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1609.6499219549
"305","Reedy Branch","STREAM","perennial",277.74396350306
"306","B Everett Jordan Lake","LAKE FLOWLINE","N/A",216.802319857045
"307","Reedy Branch","STREAM","perennial",145.923411447064
"308","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1749.11644883574
"309","B Everett Jordan Lake","LAKE FLOWLINE","N/A",4152.61815196225
"310","Windfall Branch","STREAM","intermittent",1402.29656203273
"311","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1713.52698285571
"312","Reedy Branch","STREAM","perennial",1541.90475504053
"313","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1968.75661701428
"314","Beaver Creek","STREAM","perennial",2351.00745953419
"315","B Everett Jordan Lake","LAKE FLOWLINE","N/A",4391.67233174133
"316","B Everett Jordan Lake","LAKE FLOWLINE","N/A",3497.84255822578
"317","Windfall Branch","STREAM","intermittent",2398.68641189265
"318","Windfall Branch","STREAM","perennial",2289.58484048067
"319","Reedy Branch","STREAM","perennial",1476.87856800775
"320","Beaver Creek","STREAM","perennial",1028.67456299114
"321","B Everett Jordan Lake","LAKE FLOWLINE","N/A",543.376802979792
"322","Windfall Branch","STREAM","intermittent",1096.51706253133
"323","Windfall Branch","STREAM","perennial",2249.28076880431
"324","B Everett Jordan Lake","LAKE FLOWLINE","N/A",3306.74284474164
"325","Reedy Branch","STREAM","perennial",243.145497654284
"326","B Everett Jordan Lake","LAKE FLOWLINE","N/A",142.567140317439
"327","B Everett Jordan Lake","LAKE FLOWLINE","N/A",165.265219212369
"328","Reedy Branch","STREAM","perennial",305.49772572837
"329","B Everett Jordan Lake","LAKE FLOWLINE","N/A",492.14895008727
"330","B Everett Jordan Lake","LAKE FLOWLINE","N/A",879.759909249879
"331","Beaver Creek","STREAM","perennial",1235.78256671733
"332","Reedy Branch","STREAM","perennial",1010.34197000158
"333","B Everett Jordan Lake","LAKE FLOWLINE","N/A",3113.59904151909
"334","Reedy Branch","STREAM","perennial",863.122467969132
"335","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1166.50520863726
"336","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1147.69099101792
"337","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2948.66919829891
"338","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2445.01497816731
